index,CH1
1,1953.125000
2,1953.125000
3,1914.062500
4,1953.125000
5,1914.062500
6,1875.000000
7,1953.125000
8,1914.062500
9,1914.062500
10,1914.062500
11,1953.125000
12,1953.125000
13,1914.062500
14,1914.062500
15,1914.062500
16,1875.000000
17,1914.062500
18,1914.062500
19,1914.062500
20,1914.062500
21,1953.125000
22,1914.062500
23,1914.062500
24,1914.062500
25,1914.062500
26,1953.125000
27,1953.125000
28,1953.125000
29,1914.062500
30,1914.062500
31,1914.062500
32,1953.125000
33,1914.062500
34,1914.062500
35,1914.062500
36,1914.062500
37,1914.062500
38,1953.125000
39,1914.062500
40,1914.062500
41,1914.062500
42,1953.125000
43,1953.125000
44,1914.062500
45,1953.125000
46,1914.062500
47,1953.125000
48,1914.062500
49,1914.062500
50,1914.062500
51,1914.062500
52,1914.062500
53,1875.000000
54,1914.062500
55,1914.062500
56,1914.062500
57,1914.062500
58,1914.062500
59,1914.062500
60,1953.125000
61,1914.062500
62,1953.125000
63,1914.062500
64,1914.062500
65,1914.062500
66,1914.062500
67,1914.062500
68,1914.062500
69,1953.125000
70,1914.062500
71,1875.000000
72,1914.062500
73,1914.062500
74,1875.000000
75,1914.062500
76,1914.062500
77,1914.062500
78,1914.062500
79,1914.062500
80,1914.062500
81,1953.125000
82,1914.062500
83,1914.062500
84,1953.125000
85,1875.000000
86,1914.062500
87,1914.062500
88,1914.062500
89,1914.062500
90,1914.062500
91,1953.125000
92,1914.062500
93,1914.062500
94,1953.125000
95,1914.062500
96,1914.062500
97,1914.062500
98,1914.062500
99,1914.062500
100,1914.062500
101,1914.062500
102,1914.062500
103,1953.125000
104,1914.062500
105,1953.125000
106,1914.062500
107,1875.000000
108,1953.125000
109,1914.062500
110,1914.062500
111,1953.125000
112,1953.125000
113,1914.062500
114,1914.062500
115,1914.062500
116,1875.000000
117,1914.062500
118,1914.062500
119,1914.062500
120,1914.062500
121,1953.125000
122,1914.062500
123,1914.062500
124,1953.125000
125,1914.062500
126,1914.062500
127,1914.062500
128,1953.125000
129,1914.062500
130,1953.125000
131,1875.000000
132,1953.125000
133,1953.125000
134,1914.062500
135,1914.062500
136,1914.062500
137,1914.062500
138,1953.125000
139,1953.125000
140,1914.062500
141,1914.062500
142,1914.062500
143,1953.125000
144,1953.125000
145,1914.062500
146,1914.062500
147,1953.125000
148,1914.062500
149,1914.062500
150,1953.125000
151,1914.062500
152,1953.125000
153,1914.062500
154,1953.125000
155,1914.062500
156,1914.062500
157,1914.062500
158,1953.125000
159,1914.062500
160,1953.125000
161,1914.062500
162,1953.125000
163,1914.062500
164,1914.062500
165,1914.062500
166,1914.062500
167,1953.125000
168,1953.125000
169,1914.062500
170,1953.125000
171,1914.062500
172,1914.062500
173,1914.062500
174,1914.062500
175,1914.062500
176,1914.062500
177,1953.125000
178,1914.062500
179,1914.062500
180,1953.125000
181,1914.062500
182,1914.062500
183,1914.062500
184,1914.062500
185,1914.062500
186,1914.062500
187,1875.000000
188,1914.062500
189,1914.062500
190,1914.062500
191,1914.062500
192,1914.062500
193,1914.062500
194,1914.062500
195,1914.062500
196,1953.125000
197,1914.062500
198,1914.062500
199,1914.062500
200,1914.062500
201,1875.000000
202,1914.062500
203,1914.062500
204,1953.125000
205,1953.125000
206,1914.062500
207,1914.062500
208,1953.125000
209,1953.125000
210,1953.125000
211,1953.125000
212,1914.062500
213,1914.062500
214,1953.125000
215,1914.062500
216,1953.125000
217,1914.062500
218,1953.125000
219,1953.125000
220,1953.125000
221,1914.062500
222,1914.062500
223,1914.062500
224,1953.125000
225,1914.062500
226,1914.062500
227,1914.062500
228,1914.062500
229,1914.062500
230,1914.062500
231,1914.062500
232,1914.062500
233,1914.062500
234,1914.062500
235,1953.125000
236,1914.062500
237,1914.062500
238,1914.062500
239,1914.062500
240,1914.062500
241,1953.125000
242,1953.125000
243,1914.062500
244,1953.125000
245,1914.062500
246,1914.062500
247,1953.125000
248,1953.125000
249,1914.062500
250,1914.062500
251,1914.062500
252,1914.062500
253,1914.062500
254,1953.125000
255,1953.125000
256,1953.125000
257,1953.125000
258,1914.062500
259,1953.125000
260,1953.125000
261,1914.062500
262,1953.125000
263,1914.062500
264,1953.125000
265,1914.062500
266,1914.062500
267,1914.062500
268,1953.125000
269,1953.125000
270,1914.062500
271,1914.062500
272,1953.125000
273,1953.125000
274,1914.062500
275,1914.062500
276,1914.062500
277,1914.062500
278,1914.062500
279,1914.062500
280,1914.062500
281,1953.125000
282,1914.062500
283,1914.062500
284,1914.062500
285,1914.062500
286,1914.062500
287,1953.125000
288,1914.062500
289,1914.062500
290,1914.062500
291,1914.062500
292,1914.062500
293,1914.062500
294,1914.062500
295,1914.062500
296,1953.125000
297,1914.062500
298,1914.062500
299,1914.062500
300,1914.062500
301,1914.062500
302,1914.062500
303,1914.062500
304,1914.062500
305,1914.062500
306,1914.062500
307,1914.062500
308,1914.062500
309,1914.062500
310,1914.062500
311,1914.062500
312,1953.125000
313,1914.062500
314,1914.062500
315,1875.000000
316,1914.062500
317,1953.125000
318,1914.062500
319,1914.062500
320,1953.125000
321,1914.062500
322,1914.062500
323,1953.125000
324,1914.062500
325,1914.062500
326,1914.062500
327,1914.062500
328,1914.062500
329,1914.062500
330,1914.062500
331,1914.062500
332,1914.062500
333,1914.062500
334,1914.062500
335,1914.062500
336,1953.125000
337,1953.125000
338,1914.062500
339,1953.125000
340,1914.062500
341,1914.062500
342,1914.062500
343,1914.062500
344,1914.062500
345,1914.062500
346,1914.062500
347,1875.000000
348,1914.062500
349,1914.062500
350,1914.062500
351,1914.062500
352,1914.062500
353,1914.062500
354,1914.062500
355,1914.062500
356,1914.062500
357,1914.062500
358,1914.062500
359,1914.062500
360,1953.125000
361,1953.125000
362,1914.062500
363,1914.062500
364,1914.062500
365,1914.062500
366,1914.062500
367,1953.125000
368,1914.062500
369,1953.125000
370,1914.062500
371,1914.062500
372,1914.062500
373,1914.062500
374,1953.125000
375,1914.062500
376,1953.125000
377,1914.062500
378,1914.062500
379,1953.125000
380,1914.062500
381,1953.125000
382,1914.062500
383,1914.062500
384,1914.062500
385,1914.062500
386,1914.062500
387,1914.062500
388,1914.062500
389,1914.062500
